SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
ABCL0003,simple,Abrazadera Clip 1,"<p>Descubre la confiabilidad de <strong>Abrazadera Clip 1</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0003.jpg,8.58,,,,,,,,,,,,,
ABCL0001,simple,"Abrazadera Clip 1/2""","<p>Optimiza tus proyectos con <strong>Abrazadera Clip 1/2""</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABCL0001.jpg,6.51,,,,,,,,,,,,,
ABOM0001,simple,Abrazadera Omega - 1/2 Pulgadas,"<p>Optimiza tus proyectos con <strong>Abrazadera Omega - 1/2 Pulgadas</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,3.64,,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0004,simple,Abrazadera Omega - 1 1/4 Pulgadas,"<p>Descubre la confiabilidad de <strong>Abrazadera Omega - 1 1/4 Pulgadas</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,10.06,,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0005,simple,Abrazadera Omega - 1 1/2 Pulgadas,"<p>Descubre la confiabilidad de <strong>Abrazadera Omega - 1 1/2 Pulgadas</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,11.29,,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABOM0003,simple,"Abrazadera Omega 1""","<p>Descubre la confiabilidad de <strong>Abrazadera Omega 1""</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0003.jpg,5.16,,,,,,,,,,,,,
ABOM0006,simple,"Abrazadera Omega 2""","<p>Optimiza tus proyectos con <strong>Abrazadera Omega 2""</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABOM0006.jpg,28.06,,,,,,,,,,,,,
ABPA0002,simple,"Abrazadera Pata Cabra 3/4"" Pct-34","<p>Optimiza tus proyectos con <strong>Abrazadera Pata Cabra 3/4"" Pct-34</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABPA0002.jpg,34.1,,,,,,,,,,,,,
46795,simple,"Abrazadera PPR, Tipo U, Foset - 1/2 Pulgadas","<p>Descubre la confiabilidad de <strong>Abrazadera PPR, Tipo U, Foset - 1/2 Pulgadas</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-101.jpg, https://www.truper.com/media/import/imagenes/CV-101+E1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC2.jpg",1.38,,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
46796,simple,"Abrazadera PPR, Tipo U, Foset - 3/4 Pulgadas","<p>Descubre la confiabilidad de <strong>Abrazadera PPR, Tipo U, Foset - 3/4 Pulgadas</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CV-102.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC2.jpg",2.07,,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
46797,simple,"Abrazadera PPR, 1"", Tipo U, Foset","<p>Descubre la confiabilidad de <strong>Abrazadera PPR, 1"", Tipo U, Foset</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,"https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_46797.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/CV-103_FC1.jpg, https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/CV-103_FC2.jpg",2.07,,,,,,,,,,,,,
ABPE0001,simple,Abrazadera Tipo Pera - 1/2 Pulgadas,"<p>El <strong>Abrazadera Tipo Pera - 1/2 Pulgadas</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  canalización, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,7.61,,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0002,simple,Abrazadera Tipo Pera - 3/4 Pulgadas,"<p>El <strong>Abrazadera Tipo Pera - 3/4 Pulgadas</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  canalización, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,8.32,,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0005,simple,Abrazadera Tipo Pera - 1 1/2 Pulgadas,"<p>Descubre la confiabilidad de <strong>Abrazadera Tipo Pera - 1 1/2 Pulgadas</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://dummyimage.com/600x600/cccccc/000000.png,9.93,,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0003,simple,"Abrazadera Tipo Pera 1""","<p>El <strong>Abrazadera Tipo Pera 1""</strong> es la elección perfecta para quienes buscan precisión y resistencia. Especialmente diseñado para el sector de material eléctrico  y  canalización, este artículo destaca por su excelente relación calidad-precio y su robustez.</p>
<ul>
    <li><strong>Construcción Sólida:</strong> Soporta las exigencias diarias del trabajo rudo.</li>
    <li><strong>Máxima Eficiencia:</strong> Diseñado ergonómicamente o estructurado para facilitar la tarea del usuario.</li>
    <li><strong>Estándar Industrial:</strong> Cumple con las normativas necesarias para un funcionamiento óptimo y seguro.</li>
</ul>
<p>No dejes la calidad de tus trabajos al azar; confía en componentes fabricados para durar.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABPE0003.jpg,9.35,,,,,,,,,,,,,
ABPE0006,simple,"Abrazadera Tipo Pera 2""","<p>Optimiza tus proyectos con <strong>Abrazadera Tipo Pera 2""</strong>, diseñado específicamente para ofrecer la máxima durabilidad y eficiencia. Este producto es fundamental para trabajos de material eléctrico  y  canalización, cumpliendo con los estándares de calidad más exigentes del mercado.</p>
<ul>
    <li><strong>Alto Rendimiento:</strong> Fabricado para resistir el uso continuo y condiciones de trabajo pesado.</li>
    <li><strong>Versatilidad:</strong> Ideal tanto para aplicaciones de nivel profesional como para proyectos de mejora del hogar.</li>
    <li><strong>Fácil Integración:</strong> Su diseño permite una instalación o uso rápido y seguro.</li>
</ul>
<p>Asegura un acabado impecable y resultados confiables en cada tarea.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABPE0006.jpg,11.61,,,,,,,,,,,,,
ABUR0005,simple,"Abrazadera U 1/4"" para Tubo de 1 1/2""","<p>Descubre la confiabilidad de <strong>Abrazadera U 1/4"" para Tubo de 1 1/2""</strong>. Una solución indispensable dentro de la línea de material eléctrico  y  canalización, elaborada con materiales de primera calidad para garantizar una larga vida útil y un desempeño superior.</p>
<ul>
    <li><strong>Durabilidad Comprobada:</strong> Materiales seleccionados para evitar el desgaste prematuro.</li>
    <li><strong>Uso Profesional y Doméstico:</strong> Se adapta perfectamente a las exigencias de contratistas y entusiastas del bricolaje.</li>
    <li><strong>Garantía de Calidad:</strong> Supera las pruebas de resistencia para brindar seguridad en tu obra o reparación.</li>
</ul>
<p>Equípate con las mejores herramientas y accesorios para llevar tus proyectos al siguiente nivel.</p>",MATERIAL ELÉCTRICO > Canalización,https://springgreen-sparrow-647332.hostingersite.com/wp-content/uploads/productos/SKU_ABUR0005.png,6.9,,,,,,,,,,,,,
