SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s)
ABOM0001,variation,Ab Omega - 1/2 pulg,"Abrazadera tipo omega de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,3.64,id:ABOM0001-BASE,Medida,1/2 pulg,1,1,,
ABOM0004,variation,Ab Omega - 1 1/4 pulg,"Abrazadera tipo omega de 1/4"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,10.06,id:ABOM0001-BASE,Medida,1 1/4 pulg,1,1,,
ABOM0005,variation,Ab Omega - 1 1/2 pulg,"Abrazadera tipo omega de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,11.29,id:ABOM0001-BASE,Medida,1 1/2 pulg,1,1,,
ABOM0003,simple,"Ab Omega 1""","Abrazadera tipo omega de 1"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,5.16,,,,,,,
ABOM0006,simple,"Ab Omega 2""","Abrazadera tipo omega de 2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,28.06,,,,,,,
ABUN0001-BASE,variable,Ab Unicanal,"Abrazadera para unicanal de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg, 2 1/2 pulg",1,1,,
ABUN0001,variation,Ab Unicanal - 1/2 pulg,"Abrazadera para unicanal de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,7.03,id:ABUN0001-BASE,Medida,1/2 pulg,1,1,,
ABUN0002,variation,Ab Unicanal - 3/4 pulg,"Abrazadera para unicanal de 3/4"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,9.09,id:ABUN0001-BASE,Medida,3/4 pulg,1,1,,
ABUN0004,variation,Ab Unicanal - 1 1/4 pulg,"Abrazadera para unicanal de 1/4"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,12.84,id:ABUN0001-BASE,Medida,1 1/4 pulg,1,1,,
ABUN0005,variation,Ab Unicanal - 1 1/2 pulg,"Abrazadera para unicanal de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,12.2,id:ABUN0001-BASE,Medida,1 1/2 pulg,1,1,,
ABUN0007,variation,Ab Unicanal - 2 1/2 pulg,"Abrazadera para unicanal de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,36.38,id:ABUN0001-BASE,Medida,2 1/2 pulg,1,1,,
ABUN0003,simple,"Ab Unicanal 1""","Abrazadera para unicanal de 1"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,10.32,,,,,,,
ABUN0006,simple,"Ab Unicanal 2""","Abrazadera para unicanal de 2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,16.58,,,,,,,
ABUN0008,simple,"Ab Unicanal 3""","Abrazadera para unicanal de 3"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,40.38,,,,,,,
ABUN0009,simple,"Ab Unicanal 4""","Abrazadera para unicanal de 4"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/31hLvxJrySL._AC_.jpg,48.23,,,,,,,
ABUÃ0001-BASE,variable,Ab Uãa,"Abrazadera tipo uña de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,,
ABUÃ0001,variation,Ab Uãa - 1/2 pulg,"Abrazadera tipo uña de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,1.87,id:ABUÃ0001-BASE,Medida,1/2 pulg,1,1,,
ABUÃ0002,variation,Ab Uãa - 3/4 pulg,"Abrazadera tipo uña  para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,4.14,id:ABUÃ0001-BASE,Medida,3/4 pulg,1,1,,
ABUÃ0004,variation,Ab Uãa - 1 1/4 pulg,"Abrazadera tipo uña de 1/4"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,7.74,id:ABUÃ0001-BASE,Medida,1 1/4 pulg,1,1,,
ABUÃ0005,variation,Ab Uãa - 1 1/2 pulg,"Abrazadera tipo uña de 1/2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,9.03,id:ABUÃ0001-BASE,Medida,1 1/2 pulg,1,1,,
ABUÃ0003,simple,"Ab Uãa 1""","Abrazadera tipo uña de 1"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,4.45,,,,,,,
ABUÃ0006,simple,"Ab Uãa 2""","Abrazadera tipo uña de 2"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,17.42,,,,,,,
ABUÃ0008,simple,"Ab Uãa 3""","Abrazadera tipo uña de 3"" para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,50.63,,,,,,,
ABUÃ0009,simple,Ab Uãa 4,"Abrazadera tipo uña  para soporte de tubo conduit eléctrico en paredes, plafones y estructuras metálicas. Fabricada en acero galvanizado resistente a la corrosión para instalaciones permanentes en interiores y exteriores. Su diseño permite una instalación rápida y segura manteniendo el conduit bien alineado.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,62.89,,,,,,,
ABUÑ0005-BASE,variable,Ab Uña,"AB UÑA 1 1/2""*",Nuevo,,,,Medida,"1 1/2 pulg, 1 1/4 pulg, 1/2 pulg, 3/4 pulg",1,1,,
ABUÑ0005,variation,Ab Uña - 1 1/2 pulg,"AB UÑA 1 1/2""*",Nuevo,,9.03,id:ABUÑ0005-BASE,Medida,1 1/2 pulg,1,1,,
ABUÑ0004,variation,Ab Uña - 1 1/4 pulg,"AB UÑA 1 1/4""*",Nuevo,,7.74,id:ABUÑ0005-BASE,Medida,1 1/4 pulg,1,1,,
ABUÑ0001,variation,Ab Uña - 1/2 pulg,"AB UÑA 1/2""*",Nuevo,,1.87,id:ABUÑ0005-BASE,Medida,1/2 pulg,1,1,,
ABUÑ0002,variation,Ab Uña - 3/4 pulg,Producto de excelente calidad: Ab Uña 3/4. Ideal para uso general o especializado. Adquiérelo al mejor precio.,Nuevo,,4.14,id:ABUÑ0005-BASE,Medida,3/4 pulg,1,1,,
ABUÑ0003,simple,"Ab Uña 1""","AB UÑA 1""*",Nuevo,,4.45,,,,,,,
ABUÑ0006,simple,"Ab Uña 2""","AB UÑA 2""*",Nuevo,,17.42,,,,,,,
ABUÑ0008,simple,"Ab Uña 3""","AB UÑA 3""*",Nuevo,,50.63,,,,,,,
ABUÑ0009,simple,Ab Uña 4,"AB UÑA 4*""",Nuevo,,62.89,,,,,,,
ABCL0002-BASE,variable,Abrazadera Clip,"Abrazadera tipo clip de 3/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,,,Medida,"3/4 pulg, 1 1/4 pulg",1,1,,
ABCL0002,variation,Abrazadera Clip - 3/4 pulg,"Abrazadera tipo clip de 3/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,7.03,id:ABCL0002-BASE,Medida,3/4 pulg,1,1,,
ABCL0004,variation,Abrazadera Clip - 1 1/4 pulg,"Abrazadera tipo clip de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,13.42,id:ABCL0002-BASE,Medida,1 1/4 pulg,1,1,,
ABCL0003,simple,Abrazadera Clip 1,"Abrazadera tipo clip  para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,8.58,,,,,,,
ABCL0001,simple,"Abrazadera Clip 1/2""â¨","Abrazadera tipo clip de 1/2"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,6.51,,,,,,,
ABPA0002,simple,"Abrazadera Pata Cabra 3/4"" Pct-34","Abrazadera pata de cabra de 3/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,34.1,,,,,,,
46797,simple,"Abrazadera Ppr,â 1"", Tipo U, Foset","Abrazadera tipo U  para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,"https://www.truper.com/media/import/imagenes/CV-103.jpg, https://www.truper.com/media/import/imagenes/CV-103+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-103+FC2.jpg",2.07,,,,,,,
46795,simple,"Abrazadera Ppr,â 1/2"", Tipo U, Foset","Abrazadera tipo U  para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,"https://www.truper.com/media/import/imagenes/CV-101.jpg, https://www.truper.com/media/import/imagenes/CV-101+E1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-101+FC2.jpg",1.38,,,,,,,
46796,simple,"Abrazadera Ppr,â 3/4"", Tipo U, Foset","Abrazadera tipo U  para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,"https://www.truper.com/media/import/imagenes/CV-102.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC1.jpg, https://www.truper.com/media/import/imagenes/CV-102+FC2.jpg",2.07,,,,,,,
ABPE0001-BASE,variable,Abrazadera Tipo Pera,"Abrazadera tipo pera de 1/2"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/2 pulg",1,1,,
ABPE0001,variation,Abrazadera Tipo Pera - 1/2 pulg,"Abrazadera tipo pera de 1/2"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,7.61,id:ABPE0001-BASE,Medida,1/2 pulg,1,1,,
ABPE0002,variation,Abrazadera Tipo Pera - 3/4 pulg,"Abrazadera tipo pera de 3/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,8.32,id:ABPE0001-BASE,Medida,3/4 pulg,1,1,,
ABPE0005,variation,Abrazadera Tipo Pera - 1 1/2 pulg,"Abrazadera tipo pera de 1/2"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,9.93,id:ABPE0001-BASE,Medida,1 1/2 pulg,1,1,,
ABPE0003,simple,"Abrazadera Tipo Pera 1""","Abrazadera tipo pera de 1"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,9.35,,,,,,,
ABPE0006,simple,"Abrazadera Tipo Pera 2""","Abrazadera tipo pera de 2"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://m.media-amazon.com/images/I/41ncY6EL23L._AC_.jpg,11.61,,,,,,,
ABUR0001-BASE,variable,"Abrazadera U 1/4"" P/tubo de","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg",1,1,,
ABUR0001,variation,"Abrazadera U 1/4"" P/tubo de - 1/2 pulg","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,8.84,id:ABUR0001-BASE,Medida,1/2 pulg,1,1,,
ABUR0002,variation,"Abrazadera U 1/4"" P/tubo de - 3/4 pulg","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,9.55,id:ABUR0001-BASE,Medida,3/4 pulg,1,1,,
ABUR0004,variation,"Abrazadera U 1/4"" P/tubo de - 1 1/4 pulg","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,27.86,id:ABUR0001-BASE,Medida,1 1/4 pulg,1,1,,
ABUR0005,variation,"Abrazadera U 1/4"" P/tubo de - 1 1/2 pulg","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,6.9,id:ABUR0001-BASE,Medida,1 1/2 pulg,1,1,,
ABUR0003,simple,"Abrazadera U 1/4"" P/tubo de 1""","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,10.97,,,,,,,
ABUR0006,simple,"Abrazadera U 1/4"" P/tubo de 2""","Abrazadera tipo U de 1/4"" para sujeción de tubo conduit eléctrico a paredes, plafones y estructuras. Fabricada en acero galvanizado para resistir la corrosión en instalaciones permanentes. Su diseño facilita la instalación y mantiene el tubo firmemente sujeto sin dañar el recubrimiento del conduit.",,https://argoselectrica.com/wp-content/uploads/2021/04/tubo-conduit-emt.jpg,33.09,,,,,,,
